start_time	duration	jellyfish_aurelia	jellyfish_ctenophora	jellyfish_unspecified	fish_unspecified	fish_cod	jellyfish_cyanea	fish_herring
2021-06-22 21:07:23.657	00:00:46	774.0	105.0	0.0	28.0	0.0	0.0	0.0
2021-06-22 21:08:18.357	00:00:30	0.0	0.0	0.0	777.0	0.0	0.0	0.0
2021-06-22 21:08:49.367	00:00:08	0.0	0.0	0.0	172.0	0.0	0.0	0.0
2021-06-22 21:08:58.067	00:00:24	0.0	0.0	0.0	460.0	0.0	0.0	0.0
2021-06-22 21:09:34.317	00:00:05	0.0	0.0	0.0	36.0	0.0	0.0	0.0
2021-06-22 21:11:32.738	00:00:39	2.0	0.0	0.0	459.0	0.0	0.0	0.0
2021-06-22 21:13:48.128	00:00:15	0.0	0.0	0.0	316.0	0.0	0.0	0.0
2021-06-22 21:14:05.638	00:00:07	0.0	0.0	0.0	95.0	0.0	0.0	0.0
2021-06-22 21:14:47.368	00:00:16	33.0	0.0	0.0	206.0	0.0	0.0	0.0
2021-06-22 21:16:33.678	00:00:19	0.0	0.0	0.0	280.0	0.0	0.0	0.0
2021-06-22 21:22:05.599	00:00:25	15.0	0.0	0.0	334.0	0.0	0.0	0.0
2021-06-22 21:23:07.859	00:00:16	0.0	0.0	0.0	216.0	0.0	0.0	0.0
2021-06-22 21:23:27.489	00:00:11	0.0	0.0	0.0	173.0	0.0	0.0	0.0
2021-06-22 21:23:41.189	00:00:24	28.0	0.0	0.0	500.0	0.0	0.0	0.0
2021-06-22 21:24:11.609	00:00:15	0.0	0.0	0.0	64.0	0.0	0.0	0.0
2021-06-22 21:24:38.169	00:00:09	0.0	0.0	0.0	117.0	0.0	0.0	0.0
2021-06-22 21:45:41.041	00:00:06	0.0	0.0	0.0	108.0	0.0	0.0	0.0
2021-06-22 21:46:01.111	00:00:04	0.0	0.0	0.0	28.0	0.0	0.0	0.0
2021-06-22 21:46:37.091	00:00:11	0.0	0.0	0.0	116.0	0.0	0.0	0.0
2021-06-22 21:49:32.781	00:00:25	0.0	0.0	0.0	449.0	0.0	0.0	0.0
2021-06-22 21:51:47.391	00:00:09	0.0	0.0	0.0	166.0	0.0	0.0	0.0
2021-06-22 21:52:09.671	00:00:03	0.0	0.0	0.0	69.0	0.0	0.0	0.0
2021-06-23 06:23:52.454	00:00:25	0.0	215.0	0.0	0.0	0.0	0.0	0.0
2021-06-23 06:54:01.639	00:00:07	0.0	0.0	0.0	83.0	0.0	0.0	0.0
2021-06-23 08:01:42.354	00:00:08	0.0	0.0	0.0	77.0	0.0	0.0	0.0
2021-06-23 08:11:02.105	00:00:04	0.0	0.0	0.0	83.0	0.0	0.0	0.0
2021-06-23 08:12:20.065	00:00:33	45.0	0.0	0.0	339.0	0.0	0.0	0.0
2021-06-23 08:20:58.876	00:00:17	0.0	0.0	0.0	268.0	0.0	0.0	0.0
2021-06-23 08:21:17.056	00:00:17	2.0	0.0	0.0	588.0	0.0	0.0	0.0
2021-06-23 08:22:00.236	00:00:06	0.0	0.0	0.0	62.0	0.0	0.0	0.0
2021-06-23 08:25:33.856	00:00:16	5.0	0.0	0.0	194.0	0.0	0.0	0.0
2021-06-23 08:26:52.166	00:00:09	0.0	0.0	0.0	38.0	0.0	0.0	0.0
2021-06-23 08:39:46.707	00:00:08	0.0	0.0	0.0	32.0	0.0	0.0	0.0
2021-06-23 08:41:07.348	00:00:06	0.0	0.0	0.0	31.0	0.0	0.0	0.0
2021-06-23 09:00:30.719	00:00:38	197.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-23 09:40:12.553	00:00:12	0.0	0.0	0.0	275.0	0.0	0.0	0.0
2021-06-23 09:50:20.473	00:00:31	154.0	8.0	0.0	563.0	0.0	0.0	5.0
2021-06-23 09:50:57.423	00:00:07	0.0	0.0	0.0	96.0	0.0	0.0	0.0
2021-06-23 10:06:31.595	00:00:10	16.0	0.0	0.0	106.0	0.0	0.0	0.0
2021-06-23 10:07:02.095	00:00:11	3.0	0.0	0.0	86.0	0.0	0.0	0.0
2021-06-23 10:10:49.835	00:00:07	4.0	0.0	0.0	20.0	0.0	0.0	0.0
2021-06-23 10:10:58.655	00:00:06	85.0	0.0	0.0	162.0	0.0	0.0	0.0
2021-06-23 10:12:14.805	00:00:08	130.0	0.0	0.0	7.0	0.0	0.0	0.0
2021-06-23 10:12:52.785	00:00:05	136.0	0.0	0.0	77.0	0.0	0.0	0.0
2021-06-23 10:12:59.395	00:00:23	82.0	0.0	0.0	705.0	0.0	0.0	0.0
2021-06-23 11:25:08.551	00:00:27	345.0	0.0	0.0	375.0	0.0	0.0	0.0
2021-06-23 11:47:01.863	00:00:07	8.0	0.0	0.0	32.0	0.0	0.0	0.0
2021-06-23 11:47:11.663	00:00:04	12.0	0.0	0.0	44.0	0.0	0.0	0.0
2021-06-23 11:47:17.643	00:00:06	99.0	0.0	0.0	88.0	0.0	0.0	0.0
2021-06-23 11:47:26.063	00:00:03	41.0	0.0	0.0	79.0	0.0	0.0	0.0
2021-06-23 11:49:58.923	00:00:04	0.0	0.0	0.0	64.0	0.0	0.0	0.0
2021-06-23 11:52:24.814	00:00:12	178.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-23 11:52:58.454	00:01:30	1557.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-23 20:39:34.998	00:00:29	0.0	90.0	0.0	4.0	0.0	0.0	0.0
2021-06-24 05:05:13.160	00:00:10	15.0	0.0	0.0	22.0	0.0	0.0	0.0
2021-06-24 07:22:09.212	00:00:03	0.0	9.0	0.0	0.0	0.0	0.0	0.0
2021-06-24 08:55:01.509	00:01:14	1399.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-24 15:40:08.489	00:00:07	0.0	0.0	0.0	0.0	17.0	0.0	0.0
2021-06-24 15:56:23.151	00:00:53	0.0	846.0	0.0	0.0	0.0	0.0	0.0
2021-06-24 17:24:49.098	00:00:24	0.0	431.0	0.0	0.0	0.0	0.0	0.0
2021-06-24 18:49:22.895	00:00:13	139.0	0.0	0.0	0.0	0.0	0.0	0.0
2021-06-24 20:57:37.816	00:00:27	443.0	0.0	0.0	0.0	0.0	0.0	0.0
